				R openBLAS					R MKL					MKL vs openBLAS		
				Runtime			Speedup		Runtime			Speedup		Mean & stdev	1.3	0.7
p	n	m	missing	cor	naive	matrix	naive	matrix	cor	naive	matrix	naive	matrix			
250	1000	250	0.3	0.597	0.139	0.229	4.3	2.6	0.673	0.138	0.196	4.9	3.4		1.2	
250	1000	250	0.4	0.562	0.136	0.240	4.1	2.3	0.668	0.135	0.167	4.9	4.0		1.4	
250	1000	250	0.5	0.556	0.139	0.233	4.0	2.4	0.655	0.140	0.198	4.7	3.3		1.2	
250	1250	250	0	0.694	0.173	0.254	4.0	2.7	0.796	0.172	0.087	4.6	9.1		2.9	
250	1250	250	0.1	0.693	0.173	0.238	4.0	2.9	0.804	0.172	0.093	4.7	8.6		2.6	
250	1250	250	0.2	0.694	0.173	0.237	4.0	2.9	0.772	0.172	0.122	4.5	6.3		1.9	
250	1250	250	0.3	0.705	0.175	0.200	4.0	3.5	0.804	0.172	0.099	4.7	8.1		2.0	
250	1250	250	0.4	0.698	0.174	0.248	4.0	2.8	0.783	0.173	0.083	4.5	9.4		3.0	
250	1250	250	0.5	0.695	0.177	0.227	3.9	3.1	0.799	0.176	0.155	4.5	5.2		1.5	
250	1500	250	0	0.831	0.208	0.243	4.0	3.4	0.916	0.206	0.098	4.4	9.3		2.5	
250	1500	250	0.1	0.832	0.207	0.236	4.0	3.5	0.950	0.205	0.117	4.6	8.1		2.0	
250	1500	250	0.2	0.833	0.208	0.271	4.0	3.1	0.931	0.207	0.193	4.5	4.8		1.4	
250	1500	250	0.3	0.831	0.202	0.285	4.1	2.9	0.928	0.202	0.144	4.6	6.4		2.0	
250	1500	250	0.4	0.833	0.203	0.235	4.1	3.5	0.943	0.202	0.141	4.7	6.7		1.7	
250	1500	250	0.5	0.831	0.219	0.248	3.8	3.4	0.919	0.203	0.106	4.5	8.7		2.3	
250	1750	250	0	0.972	0.237	0.278	4.1	3.5	1.065	0.236	0.094	4.5	11.3		3.0	
250	1750	250	0.1	1.039	0.243	0.291	4.3	3.6	1.066	0.239	0.130	4.5	8.2		2.2	
250	1750	250	0.2	0.974	0.247	0.268	3.9	3.6	1.042	0.242	0.099	4.3	10.5		2.7	
250	1750	250	0.3	0.996	0.241	0.245	4.1	4.1	1.062	0.239	0.105	4.4	10.1		2.3	
250	1750	250	0.4	0.970	0.241	0.253	4.0	3.8	1.060	0.239	0.086	4.4	12.3		2.9	
250	1750	250	0.5	0.972	0.241	0.216	4.0	4.5	1.045	0.241	0.093	4.3	11.2		2.3	
250	2000	250	0	1.109	0.278	0.240	4.0	4.6	1.181	0.276	0.115	4.3	10.3		2.1	
250	2000	250	0.1	1.110	0.275	0.251	4.0	4.4	1.179	0.273	0.096	4.3	12.3		2.6	
250	2000	250	0.2	1.149	0.271	0.260	4.2	4.4	1.217	0.269	0.145	4.5	8.4		1.8	
250	2000	250	0.3	1.111	0.271	0.276	4.1	4.0	1.189	0.269	0.139	4.4	8.6		2.0	
250	2000	250	0.4	1.108	0.272	0.260	4.1	4.3	1.187	0.270	0.159	4.4	7.5		1.6	
250	2000	250	0.5	1.116	0.281	0.257	4.0	4.3	1.199	0.276	0.158	4.3	7.6		1.6	
250	2250	250	0	1.251	0.306	0.251	4.1	5.0	1.321	0.304	0.120	4.3	11.0		2.1	
250	2250	250	0.1	1.248	0.308	0.287	4.1	4.3	1.291	0.306	0.237	4.2	5.4		1.2	
250	2250	250	0.2	1.251	0.311	0.283	4.0	4.4	1.311	0.310	0.133	4.2	9.9		2.1	
250	2250	250	0.3	1.253	0.304	0.269	4.1	4.7	1.314	0.302	0.193	4.4	6.8		1.4	
250	2250	250	0.4	1.301	0.310	0.263	4.2	4.9	1.317	0.310	0.179	4.2	7.4		1.5	
250	2250	250	0.5	1.277	0.314	0.267	4.1	4.8	1.305	0.307	0.127	4.3	10.3		2.1	
250	2500	250	0	1.387	0.346	0.271	4.0	5.1	1.444	0.344	0.159	4.2	9.1		1.7	
250	2500	250	0.1	1.390	0.340	0.247	4.1	5.6	1.434	0.339	0.229	4.2	6.3		1.1	
250	2500	250	0.2	1.407	0.344	0.314	4.1	4.5	1.445	0.354	0.222	4.1	6.5		1.4	
250	2500	250	0.3	1.390	0.339	0.232	4.1	6.0	1.473	0.337	0.223	4.4	6.6		1.0	
250	2500	250	0.4	1.391	0.339	0.222	4.1	6.3	1.470	0.338	0.232	4.3	6.3		1.0	
250	2500	250	0.5	1.390	0.339	0.246	4.1	5.7	1.431	0.336	0.236	4.3	6.1		1.0	
250	2750	250	0	1.527	0.373	0.290	4.1	5.3	1.567	0.387	0.157	4.0	10.0		1.8	
250	2750	250	0.1	1.614	0.376	0.275	4.3	5.9	1.584	0.376	0.141	4.2	11.2		2.0	
250	2750	250	0.2	1.531	0.375	0.301	4.1	5.1	1.591	0.377	0.138	4.2	11.5		2.2	
250	2750	250	0.3	1.528	0.376	0.312	4.1	4.9	1.595	0.372	0.134	4.3	11.9		2.3	
250	2750	250	0.4	1.532	0.380	0.305	4.0	5.0	1.577	0.376	0.118	4.2	13.4		2.6	
250	2750	250	0.5	1.529	0.376	0.264	4.1	5.8	1.572	0.373	0.113	4.2	13.9		2.3	
250	3000	250	0	1.685	0.419	0.251	4.0	6.7	1.714	0.410	0.150	4.2	11.4		1.7	
250	3000	250	0.1	1.686	0.410	0.262	4.1	6.4	1.708	0.403	0.131	4.2	13.0		2.0	
250	3000	250	0.2	1.669	0.406	0.283	4.1	5.9	1.698	0.403	0.155	4.2	11.0		1.8	
250	3000	250	0.3	1.677	0.410	0.269	4.1	6.2	1.747	0.416	0.134	4.2	13.0		2.0	
250	3000	250	0.4	1.685	0.409	0.267	4.1	6.3	1.740	0.403	0.150	4.3	11.6		1.8	
250	3000	250	0.5	1.674	0.413	0.272	4.1	6.2	1.700	0.403	0.130	4.2	13.1		2.1	
250	3250	250	0	1.807	0.450	0.281	4.0	6.4	1.861	0.445	0.133	4.2	14.0		2.1	
250	3250	250	0.1	1.827	0.442	0.291	4.1	6.3	1.832	0.437	0.192	4.2	9.5		1.5	
250	3250	250	0.2	1.808	0.445	0.306	4.1	5.9	1.856	0.445	0.190	4.2	9.8		1.6	
250	3250	250	0.3	1.808	0.443	0.313	4.1	5.8	1.852	0.442	0.134	4.2	13.8		2.3	
250	3250	250	0.4	1.812	0.440	0.265	4.1	6.8	1.838	0.438	0.177	4.2	10.4		1.5	
250	3250	250	0.5	1.808	0.441	0.294	4.1	6.1	1.845	0.455	0.159	4.1	11.6		1.8	
250	3500	250	0	1.952	0.477	0.273	4.1	7.2	1.980	0.476	0.165	4.2	12.0		1.7	
250	3500	250	0.1	1.947	0.477	0.308	4.1	6.3	2.018	0.479	0.109	4.2	18.5		2.8	
250	3500	250	0.2	1.953	0.488	0.331	4.0	5.9	1.977	0.481	0.173	4.1	11.4		1.9	
250	3500	250	0.3	1.960	0.480	0.324	4.1	6.0	2.020	0.478	0.117	4.2	17.3		2.8	
250	3500	250	0.4	1.968	0.484	0.283	4.1	7.0	2.012	0.490	0.219	4.1	9.2		1.3	
250	3500	250	0.5	1.948	0.483	0.238	4.0	8.2	1.976	0.480	0.156	4.1	12.7		1.5	
250	3750	250	0	2.082	0.511	0.289	4.1	7.2	2.121	0.528	0.127	4.0	16.7		2.3	
250	3750	250	0.1	2.094	0.510	0.275	4.1	7.6	2.128	0.508	0.162	4.2	13.1		1.7	
250	3750	250	0.2	2.088	0.507	0.269	4.1	7.8	2.144	0.506	0.163	4.2	13.2		1.7	
250	3750	250	0.3	2.094	0.508	0.296	4.1	7.1	2.116	0.509	0.146	4.2	14.5		2.0	
250	3750	250	0.4	2.128	0.511	0.313	4.2	6.8	2.115	0.523	0.154	4.0	13.7		2.0	
250	3750	250	0.5	2.097	0.523	0.306	4.0	6.9	2.114	0.514	0.148	4.1	14.3		2.1	
250	4000	250	0	2.244	0.547	0.285	4.1	7.9	2.267	0.547	0.261	4.1	8.7		1.1	
250	4000	250	0.1	2.247	0.549	0.273	4.1	8.2	2.291	0.549	0.125	4.2	18.3		2.2	
250	4000	250	0.2	2.235	0.549	0.309	4.1	7.2	2.300	0.545	0.165	4.2	13.9		1.9	
250	4000	250	0.3	2.239	0.547	0.277	4.1	8.1	2.262	0.539	0.242	4.2	9.3		1.1	
250	4000	250	0.4	2.235	0.542	0.328	4.1	6.8	2.295	0.541	0.224	4.2	10.2		1.5	
250	4000	250	0.5	2.289	0.545	0.276	4.2	8.3	2.294	0.553	0.210	4.1	10.9		1.3	
250	4250	250	0	2.373	0.589	0.257	4.0	9.2	2.382	0.583	0.148	4.1	16.1		1.7	
250	4250	250	0.1	2.369	0.574	0.311	4.1	7.6	2.377	0.571	0.225	4.2	10.6		1.4	
250	4250	250	0.2	2.377	0.581	0.311	4.1	7.6	2.421	0.573	0.216	4.2	11.2		1.4	
250	4250	250	0.3	2.366	0.583	0.316	4.1	7.5	2.395	0.575	0.190	4.2	12.6		1.7	
250	4250	250	0.4	2.374	0.590	0.275	4.0	8.6	2.401	0.581	0.188	4.1	12.8		1.5	
250	4250	250	0.5	2.368	0.584	0.283	4.1	8.4	2.392	0.575	0.226	4.2	10.6		1.3	
250	4500	250	0	2.519	0.623	0.328	4.0	7.7	2.515	0.612	0.170	4.1	14.8		1.9	
